Sl.No,District,Irrigated Area (in ha),Un irrigated Area (in ha),Total Area (in ha),Population(per ha),Requirement(in kg)
1,Kancheepuram,96585,13346,109931,329793,824482.5
2,Thiruvallur,141014,6588,147602,442806,1107015
3,Cuddalore,185928,127302,313230,939690,2349225
4,Villupuram,240483,144960,385443,1156329,2890822.5
5,Vellore,98196,86826,185022,555066,1387665
6,Thiruvannamalai,153554,67297,220851,662553,1656382.5
7,Salem,84734,147158,231892,695676,1739190
8,Namakkal,67107,94925,162032,486096,1215240
9,Dharmapuri,63687,97993,161680,485040,1212600
10,Krishnagiri,58420,121641,180061,540183,1350457.5
11,Coimbatore,115521,53579,169100,507300,1268250
12,Thiruppur,102450,62485,164935,494805,1237012.5
13,Erode,90748,46877,137625,412875,1032187.5
14,Tiruchirapalli,59397,67986,127383,382149,955372.5
15,Karur,30596,16864,47460,142380,355950
16,Perambalur,26081,72295,98376,295128,737820
17,Ariyalur,37298,64401,101699,305097,762742.5
18,Pudukottai,95728,23881,119609,358827,897067.5
19,Thanjavur,214792,24655,239447,718341,1795852.5
20,Thiruvarur,219443,62965,282408,847224,2118060
21,Nagapattinam,160167,84242,244409,733227,1833067.5
22,Madurai,45152,44100,89252,267756,669390
23,Theni,66572,48909,115481,346443,866107.5
24,Dindigul,74589,131864,206453,619359,1548397.5
25,Ramanathapuram,63924,108540,172464,517392,1293480
26,Virudhunagar,41579,79359,120938,362814,907035
27,Sivagangai,67017,29089,96106,288318,720795
28,Tirunelveli,81672,59408,141080,423240,1058100
29,Thoothukudi,28226,172146,200372,601116,1502790
30,The Nilgiris,1068,74240,75308,225924,564810
31,Kanyakumari,32870,48123,80993,242979,607447.5
32,State Total,2844598,2284044,5128642,15385926,38464815
